datetime,rainfall_amount,wind_speed,relative_humidity,air_temperature,shortwave_global,cloud_transmissivity
01/01/2012 01:00,-9999.0,2.301396,78.626211,5.079988,0.0,-9999.0
01/01/2012 02:00,0.0,3.515,85.366667,0.116667,0.0,-9999.0
01/01/2012 03:00,0.0,1.338333,87.533333,-0.016667,0.0,-9999.0
01/01/2012 04:00,0.0,2.55,90.366667,-0.0,0.0,-9999.0
01/01/2012 05:00,0.0,3.343333,94.55,0.616667,0.0,-9999.0
01/01/2012 06:00,0.0,1.948333,92.9,0.833333,0.0,-9999.0
01/01/2012 07:00,0.0,2.4,87.966667,0.883333,0.0,-9999.0
01/01/2012 08:00,0.0,2.128333,75.45,2.833333,0.033333,-9999.0
01/01/2012 09:00,0.0,1.813333,74.433333,2.766667,25.7,-9999.0
01/01/2012 10:00,0.0,1.238333,66.3,4.916667,135.233333,0.68081
01/01/2012 11:00,0.0,0.788333,60.433333,6.533333,253.5,0.942722
01/01/2012 12:00,0.0,1.251667,59.316667,7.016667,330.233333,0.942722
01/01/2012 13:00,0.0,1.61,59.466667,7.066667,280.933333,0.851017
01/01/2012 14:00,0.0,2.241667,66.333333,5.1,206.966667,0.851017
01/01/2012 15:00,0.0,2.956667,65.25,5.25,177.283333,0.851017
01/01/2012 16:00,0.0,2.795,62.6,6.0,93.833333,0.814415
01/01/2012 17:00,0.0,2.128333,63.733333,5.8,14.166667,0.777813
01/01/2012 18:00,0.0,2.676667,68.233333,4.866667,0.0,0.741211
01/01/2012 19:00,0.0,2.533333,79.366667,3.933333,0.0,0.704609
01/01/2012 20:00,0.0,3.105,88.15,3.333333,0.0,0.668007
01/01/2012 21:00,0.0,3.18,89.6,2.95,0.0,0.631405
01/01/2012 22:00,0.0,1.853333,93.283333,2.283333,0.0,0.594803
01/01/2012 23:00,0.0,1.933333,96.0,1.916667,0.0,0.558201
02/01/2012 01:00,0.0,1.063333,94.65,1.383333,0.0,0.521599
02/01/2012 02:00,0.0,1.318333,99.8,0.866667,0.0,0.484997
02/01/2012 03:00,0.0,1.17,97.75,0.516667,0.0,0.448395
02/01/2012 04:00,0.0,2.165,95.316667,-1.25,0.0,0.411793
02/01/2012 05:00,0.0,1.431667,94.966667,-0.933333,0.0,0.375191
02/01/2012 06:00,0.0,1.926667,97.033333,-1.716667,0.0,0.338589
02/01/2012 07:00,0.0,2.226667,96.033333,-1.4,0.0,0.301987
02/01/2012 08:00,0.0,3.165,95.583333,-1.016667,0.166667,0.265385
02/01/2012 09:00,0.0,2.218333,99.516667,-1.466667,14.433333,0.228783
02/01/2012 10:00,0.0,0.87,98.15,-1.45,38.366667,0.192181
02/01/2012 11:00,0.5,1.436667,100.0,-1.383333,61.35,0.18788
02/01/2012 12:00,0.4,1.331667,99.9,-0.5,53.383333,0.18788
02/01/2012 13:00,0.0,1.233333,99.983333,0.066667,128.033333,0.451087
02/01/2012 14:00,0.0,1.846667,100.0,-0.666667,127.966667,0.451087
02/01/2012 15:00,0.0,2.2,100.0,-0.7,77.883333,0.451087
02/01/2012 16:00,0.0,1.996667,100.0,-0.8,38.966667,0.45464
02/01/2012 17:00,0.0,1.595,100.0,-0.75,5.083333,0.458192
02/01/2012 18:00,0.1,1.175,100.0,-0.75,0.0,0.461745
02/01/2012 19:00,0.3,1.811667,100.0,-0.7,0.0,0.465298
02/01/2012 20:00,1.2,1.115,100.0,-0.55,0.0,0.46885
02/01/2012 21:00,1.7,1.613333,100.0,-0.833333,0.0,0.472403
02/01/2012 22:00,3.3,2.295,100.0,-1.183333,0.0,0.475956
02/01/2012 23:00,4.1,1.973333,100.0,-1.066667,0.0,0.479508
03/01/2012 01:00,3.9,2.156667,100.0,-0.933333,0.0,0.483061
03/01/2012 02:00,0.1,3.101667,100.0,-1.016667,0.0,0.486614
03/01/2012 03:00,0.0,2.383333,100.0,-1.083333,0.0,0.490167
03/01/2012 04:00,0.0,2.43,100.0,-1.166667,0.0,0.493719
03/01/2012 05:00,0.0,3.853333,100.0,-1.4,0.0,0.497272
03/01/2012 06:00,0.0,2.66,100.0,-1.766667,0.0,0.500825
03/01/2012 07:00,0.0,2.793333,100.0,-1.8,0.0,0.504377
03/01/2012 08:00,0.0,3.066667,99.15,-2.033333,0.0,0.50793
03/01/2012 09:00,0.0,2.14,96.05,-2.25,19.783333,0.511483
03/01/2012 10:00,0.0,2.196667,93.083333,-1.966667,103.6,0.515035
03/01/2012 11:00,0.0,1.88,86.866667,-0.966667,187.833333,0.823677
03/01/2012 12:00,0.0,1.433333,91.666667,-0.383333,389.266667,0.823677
03/01/2012 13:00,0.0,1.7,83.216667,0.366667,403.383333,1.0
03/01/2012 14:00,0.0,1.235,85.783333,0.616667,369.766667,1.0
03/01/2012 15:00,0.0,0.953333,68.05,1.15,273.966667,1.0
03/01/2012 16:00,0.0,1.283333,81.45,0.616667,152.183333,0.963926
03/01/2012 17:00,0.0,0.801667,86.016667,-0.266667,34.516667,0.927853
03/01/2012 18:00,0.0,0.675,80.133333,-0.583333,0.0,0.891779
03/01/2012 19:00,0.0,0.92,83.833333,-0.8,0.0,0.855706
03/01/2012 20:00,0.0,0.741667,86.466667,-1.0,0.0,0.819632
03/01/2012 21:00,0.0,0.651667,77.816667,-0.916667,0.0,0.783559
03/01/2012 22:00,0.0,0.973333,84.1,-1.233333,0.0,0.747485
03/01/2012 23:00,0.0,1.476667,87.65,-1.65,0.0,0.711412
04/01/2012 01:00,0.0,1.343333,89.383333,-1.65,0.0,0.675338
04/01/2012 02:00,0.0,1.666667,93.833333,-2.533333,0.0,0.639265
04/01/2012 03:00,0.0,1.255,91.583333,-2.383333,0.0,0.603191
04/01/2012 04:00,0.0,1.278333,98.633333,-2.966667,0.0,0.567117
04/01/2012 05:00,0.0,1.908333,96.1,-3.1,0.0,0.531044
04/01/2012 06:00,0.0,1.77,93.416667,-3.116667,0.0,0.49497
