datetime,rainfall_amount,wind_speed,relative_humidity,air_temperature,shortwave_global,cloud_transmissivity
30/05/2015 00:00,0.0,0.02,95.14,9.97,0.0,-9999.0
30/05/2015 01:00,0.0,0.01,96.74,10.38,0.0,-9999.0
30/05/2015 02:00,0.0,0.04,96.46,10.31,0.0,-9999.0
30/05/2015 03:00,0.0,0.0,96.88,10.18,0.0,-9999.0
30/05/2015 04:00,0.0,0.02,97.95,10.88,0.43,-9999.0
30/05/2015 05:00,0.0,0.05,95.16,11.26,38.15,-9999.0
30/05/2015 06:00,0.0,0.01,93.36,11.17,99.75,0.854913
30/05/2015 07:00,0.0,0.04,91.14,12.24,295.25,0.854913
30/05/2015 08:00,0.0,0.09,66.96,16.76,565.88,0.854913
30/05/2015 09:00,0.0,0.3,48.46,22.05,741.4,0.854913
30/05/2015 10:00,0.0,0.73,47.06,23.48,894.82,0.843815
30/05/2015 11:00,0.0,1.69,45.06,24.13,802.23,0.843815
30/05/2015 12:00,0.0,2.02,43.5,24.26,817.72,0.843815
30/05/2015 13:00,0.0,2.27,44.04,24.27,593.53,0.843815
30/05/2015 14:00,0.0,2.69,41.86,24.66,690.45,0.462411
30/05/2015 15:00,0.0,2.59,41.68,24.78,537.58,0.462411
30/05/2015 16:00,0.0,1.6,39.93,25.03,272.02,0.462411
30/05/2015 17:00,0.0,1.18,39.94,24.38,80.38,0.462411
30/05/2015 18:00,0.0,1.14,45.41,22.55,47.07,0.462411
30/05/2015 19:00,0.0,0.73,46.83,21.34,14.37,0.462411
30/05/2015 20:00,0.0,0.35,52.53,19.42,0.0,0.471169
30/05/2015 21:00,0.0,0.06,75.0,15.63,0.0,0.479927
30/05/2015 22:00,0.0,0.0,88.63,12.77,0.0,0.488685
30/05/2015 23:00,0.0,0.0,93.68,11.37,0.0,0.497443
31/05/2015 00:00,0.0,0.01,95.92,11.08,0.0,0.506201
31/05/2015 01:00,0.0,0.01,95.82,10.92,0.0,0.514959
31/05/2015 02:00,0.0,0.0,97.16,10.63,0.0,0.523717
31/05/2015 03:00,0.0,0.0,98.36,11.38,0.0,0.532475
31/05/2015 04:00,0.0,0.01,97.98,11.83,0.15,0.541233
31/05/2015 05:00,0.0,0.05,98.05,11.92,22.68,0.549991
31/05/2015 06:00,0.0,0.0,97.79,12.28,46.93,0.55875
31/05/2015 07:00,0.0,0.03,96.2,13.03,186.75,0.55875
31/05/2015 08:00,0.0,0.02,78.28,15.03,390.9,0.55875
31/05/2015 09:00,0.0,0.53,60.53,20.0,485.1,0.55875
31/05/2015 10:00,0.0,1.13,55.3,22.67,506.8,0.458163
31/05/2015 11:00,0.0,1.83,55.38,22.35,468.12,0.458163
31/05/2015 12:00,0.0,2.75,54.98,22.2,514.87,0.458163
31/05/2015 13:00,0.0,2.9,55.7,22.34,146.78,0.458163
31/05/2015 14:00,0.0,2.87,56.08,22.13,172.17,0.284579
31/05/2015 15:00,0.0,2.35,58.36,20.45,209.73,0.284579
31/05/2015 16:00,0.0,1.76,58.24,20.08,220.38,0.284579
31/05/2015 17:00,0.0,2.33,61.81,20.13,92.73,0.284579
31/05/2015 18:00,0.0,1.85,64.88,19.08,95.92,0.284579
31/05/2015 19:00,0.0,1.1,63.06,19.09,22.37,0.284579
31/05/2015 20:00,0.0,0.09,71.19,17.56,0.15,0.338841
31/05/2015 21:00,0.0,0.08,90.97,14.38,0.0,0.393102
31/05/2015 22:00,0.0,0.06,96.38,13.44,0.0,0.447363
31/05/2015 23:00,0.0,0.0,97.68,13.29,0.0,0.501624
01/06/2015 00:00,0.0,0.01,97.85,13.12,0.0,0.555885
01/06/2015 01:00,0.0,0.01,97.74,12.46,0.0,0.610146
01/06/2015 02:00,0.0,0.01,98.76,12.15,0.0,0.664408
01/06/2015 03:00,0.0,0.01,99.17,12.13,0.0,0.718669
01/06/2015 04:00,0.0,0.02,99.37,12.33,0.65,0.77293
01/06/2015 05:00,0.0,0.09,99.29,12.32,33.65,0.827191
01/06/2015 06:00,0.1,0.18,99.26,12.28,106.07,0.881452
01/06/2015 07:00,0.0,0.36,96.73,13.03,322.3,0.881452
01/06/2015 08:00,0.0,0.71,81.38,16.02,571.83,0.881452
01/06/2015 09:00,0.0,0.21,55.97,22.7,744.27,0.881452
01/06/2015 10:00,0.0,0.91,48.79,25.45,846.73,0.962745
01/06/2015 11:00,0.0,1.79,50.1,24.08,906.97,0.962745
01/06/2015 12:00,0.0,2.77,50.81,23.11,928.7,0.962745
01/06/2015 13:00,0.0,3.02,47.48,23.99,819.63,0.962745
01/06/2015 14:00,0.0,2.87,41.74,25.7,598.12,0.577792
01/06/2015 15:00,0.0,2.8,34.48,25.63,498.03,0.577792
01/06/2015 16:00,0.0,1.75,42.97,25.23,431.28,0.577792
01/06/2015 17:00,0.0,2.05,38.51,25.67,236.37,0.577792
01/06/2015 18:00,0.0,1.98,41.29,23.29,82.17,0.577792
01/06/2015 19:00,0.0,1.93,45.42,22.12,23.55,0.577792
01/06/2015 20:00,0.0,1.7,52.87,21.2,0.7,0.607903
01/06/2015 21:00,0.0,1.51,55.59,20.43,0.0,0.638013
01/06/2015 22:00,0.0,0.35,62.83,18.92,0.0,0.668124
01/06/2015 23:00,0.0,0.19,76.76,16.27,0.0,0.698235
02/06/2015 00:00,0.0,0.03,86.3,14.53,0.0,0.728345
02/06/2015 01:00,0.0,0.03,93.14,13.32,0.0,0.758456
02/06/2015 02:00,0.0,0.11,95.36,13.19,0.0,0.788567
02/06/2015 03:00,0.0,0.06,94.97,13.39,0.0,0.818677
02/06/2015 04:00,0.0,0.04,93.85,13.67,0.35,0.848788
02/06/2015 05:00,0.0,0.01,94.91,13.46,24.28,0.878899
02/06/2015 06:00,0.0,0.12,92.05,14.16,110.57,0.90901
02/06/2015 07:00,0.0,0.01,73.81,17.83,368.55,0.90901
02/06/2015 08:00,0.0,0.18,63.43,20.49,568.37,0.90901
02/06/2015 09:00,0.0,0.36,49.33,25.03,744.15,0.90901
02/06/2015 10:00,0.0,1.02,47.94,26.3,750.25,0.975401
02/06/2015 11:00,0.0,1.38,47.34,26.27,986.45,0.975401
02/06/2015 12:00,0.0,1.84,48.66,25.19,947.55,0.975401
02/06/2015 13:00,0.0,2.5,46.09,26.64,921.67,0.975401
02/06/2015 14:00,0.0,2.51,42.83,27.28,548.45,0.487747
02/06/2015 15:00,0.0,2.48,42.14,28.03,544.0,0.487747
02/06/2015 16:00,0.0,2.37,39.96,28.38,133.17,0.487747
02/06/2015 17:00,0.0,1.83,45.12,25.43,220.08,0.487747
02/06/2015 18:00,0.0,0.84,46.4,25.29,97.23,0.487747
02/06/2015 19:00,0.0,0.63,47.03,25.26,20.1,0.487747
02/06/2015 20:00,0.0,0.72,51.26,23.48,0.02,0.534316
02/06/2015 21:00,0.0,0.48,56.22,21.99,0.0,0.580884
02/06/2015 22:00,0.0,0.01,70.09,19.06,0.0,0.627452
02/06/2015 23:00,0.0,0.03,86.18,15.78,0.0,0.674021
03/06/2015 00:00,0.0,0.03,92.6,14.19,0.0,0.720589
03/06/2015 01:00,0.0,0.01,94.33,13.13,0.0,0.767158
03/06/2015 02:00,0.0,0.03,95.78,12.18,0.0,0.813726
03/06/2015 03:00,0.0,0.01,96.81,11.52,0.0,0.860295
03/06/2015 04:00,0.0,0.0,97.03,10.92,0.87,0.906863
03/06/2015 05:00,0.0,0.0,97.87,10.49,32.13,0.953432
03/06/2015 06:00,0.0,0.0,99.19,11.03,203.08,1.0
03/06/2015 07:00,0.0,0.38,88.17,15.28,382.37,1.0
03/06/2015 08:00,0.0,0.84,67.3,19.83,563.58,1.0
03/06/2015 09:00,0.0,0.44,51.62,24.75,728.32,1.0
03/06/2015 10:00,0.0,0.66,44.37,28.11,804.65,0.71086
03/06/2015 11:00,0.0,0.98,48.23,27.85,484.67,0.71086
03/06/2015 12:00,0.0,1.14,50.37,27.63,766.88,0.71086
03/06/2015 13:00,0.0,1.6,44.58,29.23,478.37,0.71086
03/06/2015 14:00,0.0,1.37,49.36,27.53,308.23,0.270353
03/06/2015 15:00,0.0,0.38,52.3,27.62,173.78,0.270353
03/06/2015 16:00,0.0,0.1,57.51,27.5,147.42,0.270353
03/06/2015 17:00,0.0,0.0,63.23,27.08,90.87,0.270353
03/06/2015 18:00,0.0,0.0,70.9,26.24,79.63,0.270353
