datetime,rainfall_amount,wind_speed,relative_humidity,air_temperature,surface_downwelling_shortwave_flux
02/10/2009 01:00,0,3.53,0.3793,13.58,0
02/10/2009 02:00,0,3.91,0.3763,13.01,0
02/10/2009 03:00,0,3.49,0.4046,12.36,0
02/10/2009 04:00,0,3.82,0.4168,12.07,0
02/10/2009 05:00,0,3.67,0.4256,11.61,0
02/10/2009 06:00,0,3.25,0.4128,11.13,0
02/10/2009 07:00,0,2.64,0.43,10.44,0
02/10/2009 08:00,0,3.09,0.438,10.07,5.96
02/10/2009 09:00,0,2.37,0.4388,10.65,32.41
02/10/2009 10:00,0,3.18,0.417,11.47,197.32
02/10/2009 11:00,0,3.73,0.3909,12.38,396.02
02/10/2009 12:00,0,3.51,0.3584,13.12,500.07
02/10/2009 13:00,0,3.63,0.3145,13.96,564.02
02/10/2009 14:00,0,2.75,0.305,15.04,580.02
02/10/2009 15:00,0,2.74,0.302,15.76,543.85
02/10/2009 16:00,0,3.13,0.2825,16.49,467.18
02/10/2009 17:00,0,3.65,0.2821,15.96,344.57
02/10/2009 18:00,0,4.82,0.2906,15.26,198.8
02/10/2009 19:00,0,5.45,0.3241,13.74,48.53
02/10/2009 20:00,0,5.74,0.3526,12.57,2.39
02/10/2009 21:00,0,5.27,0.3738,12.07,0
02/10/2009 22:00,0,5.41,0.3973,11.47,0
02/10/2009 23:00,0,2.79,0.3995,10.85,0
03/10/2009 00:00,0,2.58,0.3938,10.83,0
03/10/2009 01:00,0,2.86,0.4229,10.63,0
03/10/2009 02:00,0,3.3,0.4669,9.93,0
03/10/2009 03:00,0,3.7,0.4823,9.56,0
03/10/2009 04:00,0,3.15,0.502,9.08,0
03/10/2009 05:00,0,2.93,0.5152,8.72,0
03/10/2009 06:00,0,2.19,0.536,7.9,0
03/10/2009 07:00,0,2.13,0.5351,6.99,0
03/10/2009 08:00,0,2.29,0.5058,6.95,5.08
03/10/2009 09:00,0,2.56,0.4879,7.21,20.96
03/10/2009 10:00,0,1.43,0.457,8.85,259.23
03/10/2009 11:00,0,0.94,0.5112,10.47,402.35
03/10/2009 12:00,0,1.56,0.5491,10.41,506.57
03/10/2009 13:00,0,1.97,0.525,10.99,567.33
03/10/2009 14:00,0,2.37,0.444,11.88,582.2
03/10/2009 15:00,0,2.54,0.5311,12.54,526.95
03/10/2009 16:00,0,2.95,0.5994,13,454.2
03/10/2009 17:00,0,2.25,0.582,13.11,338.62
03/10/2009 18:00,0,1.9,0.6264,12.56,193.62
03/10/2009 19:00,0,1.24,0.7176,11.26,52.22
03/10/2009 20:00,0,1.5,0.7473,9.68,1.68
03/10/2009 21:00,0,2.24,0.7577,9.03,0
03/10/2009 22:00,0,2.49,0.7792,8.54,0
03/10/2009 23:00,0,2.21,0.789,8.22,0
04/10/2009 00:00,0,2.06,0.7957,7.88,0
04/10/2009 01:00,0,1.78,0.8068,7.58,0
04/10/2009 02:00,0,0.89,0.786,7.94,0
04/10/2009 03:00,0,1.06,0.8105,7.61,0
04/10/2009 04:00,0,2.31,0.842,6.58,0
04/10/2009 05:00,0,2.47,0.849,6.29,0
04/10/2009 06:00,0,2.17,0.847,6.4,0
04/10/2009 07:00,0,2.26,0.8533,5.97,0
04/10/2009 08:00,0,2.69,0.8517,5.68,5.11
04/10/2009 09:00,0,2.34,0.8052,5.94,21.76
04/10/2009 10:00,0,1.08,0.6703,8.38,253
04/10/2009 11:00,0,0.72,0.6277,11.12,393.55
04/10/2009 12:00,0,1.2,0.6237,11.63,499.85
04/10/2009 13:00,0,1.61,0.6525,12.22,561.77
04/10/2009 14:00,0,2.4,0.6209,12.42,575.2
04/10/2009 15:00,0,2.61,0.6477,12.89,537.75
04/10/2009 16:00,0,2.33,0.6667,13.75,452.73
04/10/2009 17:00,0,1.98,0.6249,14.04,333.5
04/10/2009 18:00,0,1.54,0.6398,13.87,189.47
04/10/2009 19:00,0,1.23,0.6928,12.36,48.41
04/10/2009 20:00,0,1.66,0.7396,10.65,1.73
04/10/2009 21:00,0,2.43,0.75,9.86,0
04/10/2009 22:00,0,2.47,0.7759,9.39,0
04/10/2009 23:00,0,2.2,0.7925,9.03,0
05/10/2009 00:00,0,2.47,0.8031,8.66,0
05/10/2009 01:00,0,2.29,0.8138,8.39,0
05/10/2009 02:00,0,2.03,0.8225,8.41,0
05/10/2009 03:00,0,2.19,0.841,7.9,0
05/10/2009 04:00,0,2.31,0.8335,7.7,0
05/10/2009 05:00,0,2.29,0.8278,7.4,0
05/10/2009 06:00,0,2.44,0.825,7.18,0
05/10/2009 07:00,0,2.35,0.8104,6.92,0
05/10/2009 08:00,0,2.28,0.8125,6.94,5.23
