datetime,surface_downwelling_shortwave_flux,soil_moisture_content_50,soil_moisture_content_200,latent_heat_flux_in_air,sensible_heat_flux_in_air
02/10/2009 01:00,0,,,,
02/10/2009 02:00,0,,,,
02/10/2009 03:00,0,,,,
02/10/2009 04:00,0,,,,
02/10/2009 05:00,0,,,,
02/10/2009 06:00,0,,,,
02/10/2009 07:00,0,,,,
02/10/2009 08:00,5.96,,,,
02/10/2009 09:00,32.41,,,,
02/10/2009 10:00,197.32,,,,
02/10/2009 11:00,396.02,,,,
02/10/2009 12:00,500.07,,,,
02/10/2009 13:00,564.02,,,,
02/10/2009 14:00,580.02,,,,
02/10/2009 15:00,543.85,,,,
02/10/2009 16:00,467.18,,,,
02/10/2009 17:00,344.57,,,,
02/10/2009 18:00,198.8,,,,
02/10/2009 19:00,48.53,,,,
02/10/2009 20:00,2.39,,,,
02/10/2009 21:00,0,,,,
02/10/2009 22:00,0,,,,
02/10/2009 23:00,0,,,,
03/10/2009 00:00,0,,,,
03/10/2009 01:00,0,,,,
03/10/2009 02:00,0,,,,
03/10/2009 03:00,0,,,,
03/10/2009 04:00,0,,,,
03/10/2009 05:00,0,,,,
03/10/2009 06:00,0,,,,
03/10/2009 07:00,0,,,,
03/10/2009 08:00,5.08,,,,
03/10/2009 09:00,20.96,,,,
03/10/2009 10:00,259.23,,,,
03/10/2009 11:00,402.35,,,,
03/10/2009 12:00,506.57,,,,
03/10/2009 13:00,567.33,,,,
03/10/2009 14:00,582.2,,,,
03/10/2009 15:00,526.95,,,,
03/10/2009 16:00,454.2,,,,
03/10/2009 17:00,338.62,,,,
03/10/2009 18:00,193.62,,,,
03/10/2009 19:00,52.22,,,,
03/10/2009 20:00,1.68,,,,
03/10/2009 21:00,0,,,,
03/10/2009 22:00,0,,,,
03/10/2009 23:00,0,,,,
04/10/2009 00:00,0,,,,
04/10/2009 01:00,0,,,,
04/10/2009 02:00,0,,,,
04/10/2009 03:00,0,,,,
04/10/2009 04:00,0,,,,
04/10/2009 05:00,0,,,,
04/10/2009 06:00,0,,,,
04/10/2009 07:00,0,,,,
04/10/2009 08:00,5.11,,,,
04/10/2009 09:00,21.76,,,,
04/10/2009 10:00,253,,,,
04/10/2009 11:00,393.55,,,,
04/10/2009 12:00,499.85,,,,
04/10/2009 13:00,561.77,,,,
04/10/2009 14:00,575.2,,,,
04/10/2009 15:00,537.75,,,,
04/10/2009 16:00,452.73,,,,
04/10/2009 17:00,333.5,,,,
04/10/2009 18:00,189.47,,,,
04/10/2009 19:00,48.41,,,,
04/10/2009 20:00,1.73,,,,
04/10/2009 21:00,0,,,,
04/10/2009 22:00,0,,,,
04/10/2009 23:00,0,,,,
05/10/2009 00:00,0,,,,
05/10/2009 01:00,0,,,,
05/10/2009 02:00,0,,,,
05/10/2009 03:00,0,,,,
05/10/2009 04:00,0,,,,
05/10/2009 05:00,0,,,,
05/10/2009 06:00,0,,,,
05/10/2009 07:00,0,,,,
05/10/2009 08:00,5.23,,,,
05/10/2009 09:00,25.2,,,,
05/10/2009 10:00,234.35,,,,
05/10/2009 11:00,378.27,,,,
05/10/2009 12:00,479.7,,,,
05/10/2009 13:00,550.1,,,,
05/10/2009 14:00,477.68,,,,
05/10/2009 15:00,422.23,,,,
05/10/2009 16:00,330.07,,,,
05/10/2009 17:00,179.12,,,,
05/10/2009 18:00,99.9,,,,
05/10/2009 19:00,40.62,,,,
05/10/2009 20:00,1.25,,,,
05/10/2009 21:00,0,,,,
05/10/2009 22:00,0,,,,
05/10/2009 23:00,0,,,,
06/10/2009 00:00,0,,,,
06/10/2009 01:00,0,,,,
06/10/2009 02:00,0,,,,
06/10/2009 03:00,0,,,,
06/10/2009 04:00,0,,,,
06/10/2009 05:00,0,,,,
06/10/2009 06:00,0,,,,
06/10/2009 07:00,0,,,,
06/10/2009 08:00,4.91,,,,
06/10/2009 09:00,45.33,,,,
06/10/2009 10:00,182.12,,,,
06/10/2009 11:00,319.05,,,,
06/10/2009 12:00,476.75,,,,
06/10/2009 13:00,554.38,,,,
06/10/2009 14:00,502.3,,,,
06/10/2009 15:00,447,,,,
06/10/2009 16:00,423.88,,,,
06/10/2009 17:00,181.85,,,,
06/10/2009 18:00,90.49,,,,
06/10/2009 19:00,16.7,,,,
06/10/2009 20:00,0.82,,,,
06/10/2009 21:00,0,,,,
06/10/2009 22:00,0,,,,
06/10/2009 23:00,0,,,,
07/10/2009 00:00,0,,,,
07/10/2009 01:00,0,,,,
07/10/2009 02:00,0,,,,
07/10/2009 03:00,0,,,,
07/10/2009 04:00,0,,,,
07/10/2009 05:00,0,,,,
07/10/2009 06:00,0,,,,
07/10/2009 07:00,0,,,,
07/10/2009 08:00,5.34,,,,
07/10/2009 09:00,23.46,,,,
07/10/2009 10:00,225.2,,,,
07/10/2009 11:00,366.32,,,,
07/10/2009 12:00,471.45,,,,
07/10/2009 13:00,532.2,,,,
07/10/2009 14:00,531.88,,,,
07/10/2009 15:00,489.48,,,,
07/10/2009 16:00,357.27,,,,
07/10/2009 17:00,294.5,,,,
07/10/2009 18:00,162.53,,,,
07/10/2009 19:00,37.6,,,,
07/10/2009 20:00,0.74,,,,
07/10/2009 21:00,0,,,,
07/10/2009 22:00,0,,,,
07/10/2009 23:00,0,,,,
08/10/2009 00:00,0,,,,
08/10/2009 01:00,0,,,,
08/10/2009 02:00,0,,,,
08/10/2009 03:00,0,,,,
08/10/2009 04:00,0,,,,
08/10/2009 05:00,0,,,,
08/10/2009 06:00,0,,,,
08/10/2009 07:00,0,,,,
08/10/2009 08:00,3.72,,,,
08/10/2009 09:00,26.12,,,,
08/10/2009 10:00,57.04,,,,
08/10/2009 11:00,117.9,,,,
08/10/2009 12:00,219.38,,,,
08/10/2009 13:00,370.3,,,,
08/10/2009 14:00,584.45,,,,
08/10/2009 15:00,448.25,,,,
08/10/2009 16:00,282.55,,,,
08/10/2009 17:00,138.62,,,,
08/10/2009 18:00,107.21,,,,
08/10/2009 19:00,21.9,,,,
08/10/2009 20:00,0.51,,,,
08/10/2009 21:00,0,,,,
08/10/2009 22:00,0,,,,
08/10/2009 23:00,0,,,,
09/10/2009 00:00,0,,,,
09/10/2009 01:00,0,,,,
09/10/2009 02:00,0,,,,
09/10/2009 03:00,0,,,,
09/10/2009 04:00,0,,,,
09/10/2009 05:00,0,,,,
09/10/2009 06:00,0,,,,
09/10/2009 07:00,0,,,,
09/10/2009 08:00,2.87,,,,
09/10/2009 09:00,29.11,,,,
09/10/2009 10:00,132.03,,,,
09/10/2009 11:00,165.85,,,,
09/10/2009 12:00,225.32,,,,
09/10/2009 13:00,304.75,,,,
09/10/2009 14:00,193.5,,,,
09/10/2009 15:00,134.12,,,,
09/10/2009 16:00,40.44,,,,
09/10/2009 17:00,61.83,,,,
09/10/2009 18:00,56.92,,,,
09/10/2009 19:00,14.94,,,,
09/10/2009 20:00,0.17,,,,
09/10/2009 21:00,0,,,,
09/10/2009 22:00,0,,,,
09/10/2009 23:00,0,,,,
10/10/2009 00:00,0,,,,
10/10/2009 01:00,0,,,,
10/10/2009 02:00,0,,,,
10/10/2009 03:00,0,,,,
10/10/2009 04:00,0,,,,
10/10/2009 05:00,0,,,,
10/10/2009 06:00,0,,,,
10/10/2009 07:00,0,,,,
10/10/2009 08:00,1.68,,,,
10/10/2009 09:00,46.77,,,,
10/10/2009 10:00,134.68,,,,
10/10/2009 11:00,266.32,,,,
10/10/2009 12:00,394.62,,,,
10/10/2009 13:00,299.82,,,,
10/10/2009 14:00,290.62,,,,
10/10/2009 15:00,293.71,,,,
10/10/2009 16:00,229.83,,,,
10/10/2009 17:00,122.12,,,,
10/10/2009 18:00,15.42,,,,
10/10/2009 19:00,7.21,,,,
10/10/2009 20:00,0.6,,,,
10/10/2009 21:00,0,,,,
10/10/2009 22:00,0,,,,
10/10/2009 23:00,0,,,,
11/10/2009 00:00,0,,,,
11/10/2009 01:00,0,,,,
11/10/2009 02:00,0,,,,
11/10/2009 03:00,0,,,,
11/10/2009 04:00,0,,,,
11/10/2009 05:00,0,,,,
11/10/2009 06:00,0,,,,
11/10/2009 07:00,0,,,,
11/10/2009 08:00,3.13,,,,
11/10/2009 09:00,22.13,,,,
11/10/2009 10:00,224.7,,,,
11/10/2009 11:00,340.5,,,,
11/10/2009 12:00,462.77,,,,
11/10/2009 13:00,529.15,,,,
11/10/2009 14:00,540.2,,,,
11/10/2009 15:00,343.18,,,,
11/10/2009 16:00,171.6,,,,
11/10/2009 17:00,146.78,,,,
11/10/2009 18:00,92.21,,,,
11/10/2009 19:00,11.39,,,,
11/10/2009 20:00,0.26,,,,
11/10/2009 21:00,0,,,,
11/10/2009 22:00,0,,,,
11/10/2009 23:00,0,,,,
12/10/2009 00:00,0,,,,
12/10/2009 01:00,0,,,,
12/10/2009 02:00,0,,,,
12/10/2009 03:00,0,,,,
12/10/2009 04:00,0,,,,
12/10/2009 05:00,0,,,,
12/10/2009 06:00,0,,,,
12/10/2009 07:00,0,,,,
12/10/2009 08:00,0.37,,,,
12/10/2009 09:00,7.25,,,,
12/10/2009 10:00,62.44,,,,
12/10/2009 11:00,199.2,,,,
12/10/2009 12:00,275.97,,,,
12/10/2009 13:00,248.05,,,,
12/10/2009 14:00,407.93,,,,
12/10/2009 15:00,339.52,,,,
12/10/2009 16:00,229.98,,,,
12/10/2009 17:00,141.62,,,,
12/10/2009 18:00,73.96,,,,
12/10/2009 19:00,15.77,,,,
12/10/2009 20:00,0.62,,,,
12/10/2009 21:00,0,,,,
12/10/2009 22:00,0,,,,
12/10/2009 23:00,0,,,,
13/10/2009 00:00,0,,,,
13/10/2009 01:00,0.03,,,,
13/10/2009 02:00,0,,,,
13/10/2009 03:00,0,,,,
13/10/2009 04:00,0,,,,
13/10/2009 05:00,0,,,,
13/10/2009 06:00,0,,,,
13/10/2009 07:00,0,,,,
13/10/2009 08:00,2.53,,,,
13/10/2009 09:00,22.68,,,,
13/10/2009 10:00,93.05,,,,
13/10/2009 11:00,207.78,,,,
13/10/2009 12:00,491.15,,,,
13/10/2009 13:00,486.92,,,,
13/10/2009 14:00,587.67,,,,
13/10/2009 15:00,473.32,,,,
13/10/2009 16:00,262.12,,,,
13/10/2009 17:00,285.07,,,,
13/10/2009 18:00,78.63,,,,
13/10/2009 19:00,15.22,,,,
13/10/2009 20:00,0.54,,,,
13/10/2009 21:00,0,,,,
13/10/2009 22:00,0,,,,
13/10/2009 23:00,0,,,,
14/10/2009 00:00,0.03,,,,
14/10/2009 01:00,0,,,,
14/10/2009 02:00,0,,,,
14/10/2009 03:00,0,,,,
14/10/2009 04:00,0,,,,
14/10/2009 05:00,0,,,,
14/10/2009 06:00,0,,,,
14/10/2009 07:00,0,,,,
14/10/2009 08:00,3.47,,,,
14/10/2009 09:00,18.02,,,,
14/10/2009 10:00,76.03,,,,
14/10/2009 11:00,236.45,,,,
14/10/2009 12:00,458.38,,,,
14/10/2009 13:00,564.12,,,,
14/10/2009 14:00,576.55,,,,
14/10/2009 15:00,560.12,,,,
14/10/2009 16:00,479.1,,,,
14/10/2009 17:00,364.6,,,,
14/10/2009 18:00,180.9,,,,
14/10/2009 19:00,28.26,,,,
14/10/2009 20:00,1.76,,,,
14/10/2009 21:00,,,,,
14/10/2009 22:00,,,,,
14/10/2009 23:00,,,,,
15/10/2009 00:00,,,,,
15/10/2009 01:00,,,,,
15/10/2009 02:00,,,,,
15/10/2009 03:00,,,,,
15/10/2009 04:00,,,,,
15/10/2009 05:00,,,,,
15/10/2009 06:00,,,,,
15/10/2009 07:00,,,,,
15/10/2009 08:00,4.26,,,,
15/10/2009 09:00,18.12,,,,
15/10/2009 10:00,203.6,,,,
15/10/2009 11:00,313.55,,,,
15/10/2009 12:00,468.73,,,,
15/10/2009 13:00,528.7,,,,
15/10/2009 14:00,289.02,,,,
15/10/2009 15:00,302.43,,,,
15/10/2009 16:00,381.82,,,,
15/10/2009 17:00,292.25,,,,
15/10/2009 18:00,100.59,,,,
15/10/2009 19:00,20.34,,,,
15/10/2009 20:00,0.4,,,,
15/10/2009 21:00,,,,,
15/10/2009 22:00,,,,,
15/10/2009 23:00,,,,,
16/10/2009 00:00,,,,,
16/10/2009 01:00,,,,,
16/10/2009 02:00,,,,,
16/10/2009 03:00,,,,,
16/10/2009 04:00,,,,,
16/10/2009 05:00,,,,,
16/10/2009 06:00,,,,,
16/10/2009 07:00,,,,,
16/10/2009 08:00,3.81,,,,
16/10/2009 09:00,37.51,,,,
16/10/2009 10:00,179.78,,,,
16/10/2009 11:00,320.12,,,,
16/10/2009 12:00,277.68,,,,
16/10/2009 13:00,504.3,,,,
16/10/2009 14:00,529.48,,,,
16/10/2009 15:00,416.47,,,,
16/10/2009 16:00,164.95,,,,
16/10/2009 17:00,99.72,,,,
16/10/2009 18:00,49.13,,,,
16/10/2009 19:00,8.78,,,,
16/10/2009 20:00,,,,,
16/10/2009 21:00,,,,,
16/10/2009 22:00,,,,,
16/10/2009 23:00,,,,,
17/10/2009 00:00,,,,,
17/10/2009 01:00,,,,,
17/10/2009 02:00,,,,,
17/10/2009 03:00,,,,,
17/10/2009 04:00,,,,,
17/10/2009 05:00,,,,,
17/10/2009 06:00,,,,,
17/10/2009 07:00,,,,,
17/10/2009 08:00,2.9,,,,
17/10/2009 09:00,29.44,,,,
17/10/2009 10:00,117.62,,,,
17/10/2009 11:00,163.47,,,,
17/10/2009 12:00,244.85,,,,
17/10/2009 13:00,160.72,,,,
17/10/2009 14:00,155.43,,,,
17/10/2009 15:00,165.5,,,,
17/10/2009 16:00,132.7,,,,
17/10/2009 17:00,120.2,,,,
17/10/2009 18:00,75.64,,,,
17/10/2009 19:00,12.02,,,,
17/10/2009 20:00,,,,,
