datetime,rainfall_amount,wind_speed,relative_humidity,air_temperature,shortwave_global
09/04/2014 18:00,0,0,25.41,7.98,432
09/04/2014 19:00,0,4.74,26.02,7.82,257.07
09/04/2014 20:00,0,4.6,28.69,6.17,67.64
09/04/2014 21:00,0,3.32,31.73,4.74,3.44
09/04/2014 22:00,0,3.83,30.76,4.48,0
09/04/2014 23:00,0,4.29,27.79,4.51,0
10/04/2014 00:00,0,3.08,28.66,4.19,0
10/04/2014 01:00,0,2.16,31.95,3.58,0
10/04/2014 02:00,0,2.75,31.44,3.54,0
10/04/2014 03:00,0,2.53,34.38,3.6,0
10/04/2014 04:00,0,2.73,37.06,2.88,0
10/04/2014 05:00,0,2.32,36.23,3.5,0
10/04/2014 06:00,0,2.95,33.76,4.55,0
10/04/2014 07:00,0,3.81,34.38,5.06,1.73
10/04/2014 08:00,0,3.27,38.34,5.32,25.58
10/04/2014 09:00,0,3.36,40.6,5.92,126.53
10/04/2014 10:00,0,2.51,40.9,7.1,422.15
10/04/2014 11:00,0,4.81,42.63,7.62,470.38
10/04/2014 12:00,0,5.81,42.34,8.06,629.02
10/04/2014 13:00,0,5.86,40.35,9.58,839.77
10/04/2014 14:00,0,6.12,40.34,10.56,842.85
10/04/2014 15:00,0,5.62,41.67,10.66,655.75
10/04/2014 16:00,0,6.18,42.17,10.91,685.77
10/04/2014 17:00,0,5.93,45.56,10.29,507.7
10/04/2014 18:00,0,5.62,49.55,9.27,306.5
10/04/2014 19:00,0,4.38,50.85,9.11,194.9
10/04/2014 20:00,0,5.05,51.09,8.33,42.53
10/04/2014 21:00,0,5.35,53.24,7.88,2.47
10/04/2014 22:00,0,4.41,54.88,7.65,0
10/04/2014 23:00,0,4.03,55.38,7.47,0
11/04/2014 00:00,0,3.61,55.53,7.25,0
11/04/2014 01:00,0,3.67,55.32,7,0
11/04/2014 02:00,0,4.09,54.69,6.97,0
11/04/2014 03:00,0,3.97,54.2,6.79,0
11/04/2014 04:00,0,4.14,53.2,6.91,0
11/04/2014 05:00,0,3.1,52.29,7.21,0
11/04/2014 06:00,0,1.2,54.79,6.8,0
11/04/2014 07:00,0,1.37,53.25,6.92,1.71
11/04/2014 08:00,0,1.54,57.36,6.14,18.47
11/04/2014 09:00,0,1.49,56.15,6.37,86.45
11/04/2014 10:00,0,1.3,48.33,8.54,399.98
