datetime,rainfall_amount,wind_speed,relative_humidity,air_temperature
09/04/2014 18:00,0,0,0.2541,7.98
09/04/2014 19:00,0,4.74,0.2602,7.82
09/04/2014 20:00,0,4.6,0.2869,6.17
09/04/2014 21:00,0,3.32,0.3173,4.74
09/04/2014 22:00,0,3.83,0.3076,4.48
09/04/2014 23:00,0,4.29,0.2779,4.51
10/04/2014 00:00,0,3.08,0.2866,4.19
10/04/2014 01:00,0,2.16,0.3195,3.58
10/04/2014 02:00,0,2.75,0.3144,3.54
10/04/2014 03:00,0,2.53,0.3438,3.6
10/04/2014 04:00,0,2.73,0.3706,2.88
10/04/2014 05:00,0,2.32,0.3623,3.5
10/04/2014 06:00,0,2.95,0.3376,4.55
10/04/2014 07:00,0,3.81,0.3438,5.06
10/04/2014 08:00,0,3.27,0.3834,5.32
10/04/2014 09:00,0,3.36,0.406,5.92
10/04/2014 10:00,0,2.51,0.409,7.1
10/04/2014 11:00,0,4.81,0.4263,7.62
10/04/2014 12:00,0,5.81,0.4234,8.06
10/04/2014 13:00,0,5.86,0.4035,9.58
10/04/2014 14:00,0,6.12,0.4034,10.56
10/04/2014 15:00,0,5.62,0.4167,10.66
10/04/2014 16:00,0,6.18,0.4217,10.91
10/04/2014 17:00,0,5.93,0.4556,10.29
10/04/2014 18:00,0,5.62,0.4955,9.27
10/04/2014 19:00,0,4.38,0.5085,9.11
10/04/2014 20:00,0,5.05,0.5109,8.33
10/04/2014 21:00,0,5.35,0.5324,7.88
10/04/2014 22:00,0,4.41,0.5488,7.65
10/04/2014 23:00,0,4.03,0.5538,7.47
11/04/2014 00:00,0,3.61,0.5553,7.25
11/04/2014 01:00,0,3.67,0.5532,7
11/04/2014 02:00,0,4.09,0.5469,6.97
11/04/2014 03:00,0,3.97,0.542,6.79
11/04/2014 04:00,0,4.14,0.532,6.91
11/04/2014 05:00,0,3.1,0.5229,7.21
11/04/2014 06:00,0,1.2,0.5479,6.8
11/04/2014 07:00,0,1.37,0.5325,6.92
11/04/2014 08:00,0,1.54,0.5736,6.14
11/04/2014 09:00,0,1.49,0.5615,6.37
11/04/2014 10:00,0,1.3,0.4833,8.54
11/04/2014 11:00,0,2.99,0.4339,10.29
11/04/2014 12:00,0,4.03,0.3845,11.8
11/04/2014 13:00,0,4.35,0.3538,13.05
11/04/2014 14:00,0,5.21,0.3413,14.08
11/04/2014 15:00,0,4.13,0.347,14.41
11/04/2014 16:00,0,3.7,0.3372,13.54
11/04/2014 17:00,0,2.97,0.3596,12.91
11/04/2014 18:00,0,2.47,0.3973,12.98
11/04/2014 19:00,0,3.02,0.3603,12.34
11/04/2014 20:00,0,3.1,0.4001,11.28
11/04/2014 21:00,0,3.04,0.4916,9.69
11/04/2014 22:00,0,2.04,0.5636,7.86
11/04/2014 23:00,0,1.92,0.6503,6.8
12/04/2014 00:00,0,1.66,0.6764,5.9
12/04/2014 01:00,0,1.69,0.7332,5.07
12/04/2014 02:00,0,1.69,0.7839,4.61
12/04/2014 03:00,0,1.86,0.7862,4.15
12/04/2014 04:00,0,1.86,0.8052,3.89
12/04/2014 05:00,0,1.62,0.7851,3.82
12/04/2014 06:00,0,1.46,0.7445,4.09
12/04/2014 07:00,0,2.23,0.6694,4.48
12/04/2014 08:00,0,1.99,0.6258,5.41
12/04/2014 09:00,0,1.1,0.663,6.13
12/04/2014 10:00,0,1.12,0.6906,5.88
12/04/2014 11:00,0,0.84,0.7018,6.06
12/04/2014 12:00,0,0.95,0.6279,8.2
12/04/2014 13:00,0,2.24,0.6171,8.52
12/04/2014 14:00,0,2.38,0.6596,8.5
12/04/2014 15:00,0,2.47,0.599,9.77
12/04/2014 16:00,0,3.75,0.5423,10.37
12/04/2014 17:00,0,2.94,0.5215,9.98
12/04/2014 18:00,0,3.7,0.4678,10.62
12/04/2014 19:00,0,3.83,0.4876,10.41
12/04/2014 20:00,0,2.38,0.5183,9.15
12/04/2014 21:00,0,2.73,0.6016,7.78
12/04/2014 22:00,0,2.35,0.6509,6.99
12/04/2014 23:00,0,1.75,0.6541,6.91
13/04/2014 00:00,0,1.81,0.6798,6.19
13/04/2014 01:00,0,1.36,0.6803,6.63
13/04/2014 02:00,0,0.93,0.7383,5.85
13/04/2014 03:00,0,0.95,0.7691,5.26
13/04/2014 04:00,0,1.48,0.7675,5.11
13/04/2014 05:00,0,1.27,0.7523,5.38
13/04/2014 06:00,0,1.5,0.7739,5.28
13/04/2014 07:00,0,1.84,0.7909,5.02
13/04/2014 08:00,0,0.95,0.8039,4.87
13/04/2014 09:00,0,1.06,0.7308,5.65
13/04/2014 10:00,0,3.34,0.6945,6
13/04/2014 11:00,0,3.51,0.6656,6.3
13/04/2014 12:00,0,3.91,0.5998,6.51
13/04/2014 13:00,0,4.27,0.522,8
13/04/2014 14:00,0,4.63,0.4636,8.88
13/04/2014 15:00,0,4.9,0.4442,9.54
13/04/2014 16:00,0,4.89,0.4465,9.98
13/04/2014 17:00,0,4.35,0.4209,9.8
13/04/2014 18:00,0,4.52,0.4101,10.23
