name,init,lower,upper,mapping
VegHeight,1000,0,20000,linear
LSAI,1.0,0.0,5.0,linear
CanopyFraction,0.0,0.0,1.0,linear
DecayCoeffCanopy,2.5,0,12.5,linear
VegSnowBurying,1.0,0.0,5.0,linear
RootDepth,300,0,1500,linear
MinStomatalRes,60,0,300,linear
VegReflectVis,0.2,0.0,1.0,linear
VegReflNIR,0.2,0.0,1.0,linear
VegTransVis,0.2,0.0,1.0,linear
VegTransNIR,0.2,0.0,1.0,linear
CanDensSurface,2.0,0.0,10.0,linear
SoilRoughness,1.0,0.1,100.0,exp
SoilAlbVisDry,0.2,0.0,1.0,linear
SoilAlbNIRDry,0.2,0.0,1.0,linear
SoilAlbVisWet,0.2,0.0,1.0,linear
SoilAlbNIRWet,0.2,0.0,1.0,linear
SoilEmissiv,0.96,0.0,1.0,linear
NormalHydrConductivity,1e-2,1e-5,1.0,exp
ThetaRes,0.06,0.0,1.0,linear
WiltingPoint,0.15,0.00,1.0,linear
FieldCapacity,0.25,0.0,1.0,linear
ThetaSat,0.5,0.0,1.0,linear
NVanGenuchten,1.3,1.01,2.5,linear
AlphaVanGenuchten,0.003,1e-5,0.1,exp
VMualem,0.5,0.0,1.0,linear
SpecificStorativity,1e-7,1e-10,1e-3,exp
ThermalConductivitySoilSolids,1.9,1,5,linear
ThermalCapacitySoilSolids,2.16e6,5e5,4e6,linear
