name,guess,lower,upper,mapping,where
FirstLayerWidth,10,1.0,100.0,exp,extra
MaxDepth,2000,1000,10000,exp,extra
EdgeDepth,1000,100,10000,exp,extra
EdgeWidth,100,10,1000,exp,extra
NormalHydrConductivity,1e-2,1e-5,1.0,exp,soil
ThetaRes,0.06,0.0,1.0,linear,soil
WiltingPoint,0.15,0.00,1.0,linear,soil
FieldCapacity,0.25,0.0,1.0,linear,soil
ThetaSat,0.5,0.0,1.0,linear,soil
NVanGenuchten,1.3,1.01,2.5,linear,soil
AlphaVanGenuchten,0.003,1e-5,0.0,exp,soil
LSAI,1.0,0.0,5.0,linear,inpts
RootDepth,300,0,1500,linear,inpts
SoilRoughness,1.0,0.1,100.0,exp,inpts
