name,init,lower,upper,mapping,where
FirstLayerWidth,10,1.0,100.0,exp,extra
MaxDepth,2000,1000,10000,exp,extra
EdgeDepth,500,100,1000,exp,extra
EdgeWidth,100,10,1000,exp,extra
VegHeight,1000,0,20000,linear,inpts
LSAI,1.0,0.0,5.0,linear,inpts
CanopyFraction,0.0,0.0,1.0,linear,inpts
DecayCoeffCanopy,2.5,0,12.5,linear,inpts
VegSnowBurying,1.0,0.0,5.0,linear,inpts
RootDepth,300,0,1500,linear,inpts
MinStomatalRes,60,0,300,linear,inpts
VegReflectVis,0.2,0.0,1.0,linear,inpts
VegReflNIR,0.2,0.0,1.0,linear,inpts
VegTransVis,0.2,0.0,1.0,linear,inpts
VegTransNIR,0.2,0.0,1.0,linear,inpts
CanDensSurface,2.0,0.0,10.0,linear,inpts
SoilRoughness,1.0,0.1,100.0,exp,inpts
SoilAlbVisDry,0.2,0.0,1.0,linear,inpts
SoilAlbNIRDry,0.2,0.0,1.0,linear,inpts
SoilAlbVisWet,0.2,0.0,1.0,linear,inpts
SoilAlbNIRWet,0.2,0.0,1.0,linear,inpts
SoilEmissiv,0.96,0.0,1.0,linear,inpts
NormalHydrConductivity,1e-2,1e-5,1.0,exp,soil
ThetaRes,0.06,0.0,1.0,linear,soil
WiltingPoint,0.15,0.00,1.0,linear,soil
FieldCapacity,0.25,0.0,1.0,linear,soil
ThetaSat,0.5,0.0,1.0,linear,soil
NVanGenuchten,1.3,1.01,2.5,linear,soil
AlphaVanGenuchten,0.003,1e-5,0.1,exp,soil
VMualem,0.5,0.0,1.0,linear,soil
SpecificStorativity,1e-7,1e-10,1e-3,exp,soil
ThermalConductivitySoilSolids,1.9,1,5,linear,soil
ThermalCapacitySoilSolids,2.16e6,5e5,4e6,linear,soil
