name,suggested,lower,upper,type
NVanGenuchten,1.5,1.15,2,"scalar"
AlphaVanGenuchten,-2.698970004,-3.301029996,-2.096910013,"log"
ThetaSat,0.5,0.4,0.7,"scalar"
ThetaRes,0.06,0.04,0.08,"scalar"
NormalHydrConductivity,-2,-4.301029996,0,"log"
SoilRoughness,100,10,500,"scalar"
LSAI,1,0,5,"scalar"
CanopyFraction,0.6,0,1,"scalar"
DecayCoeffCanopy,50,0,75,"scalar"
RootDepth,500,50,1000,"scalar"
MinStomatalRes,50,10,100,"scalar"
VegReflectVis,0.1,0.05,0.2,"scalar"
VegReflNIR,0.2,0.05,0.4,"scalar"
VegTransVis,0.02,0.005,0.15,"scalar"
VegTransNIR,0.4,0.05,0.6,"scalar"
CanDensSurface,2,0.1,8,"scalar"
SoilAlbVisDry,0.15,0.05,0.3,"scalar"
SoilAlbNIRDry,0.3,0.05,0.4,"scalar"
SoilAlbVisWet,0.3,0.05,0.4,"scalar"
SoilAlbNIRWet,0.25,0.05,0.5,"scalar"
SoilEmissiv,0.9,0.8,1.0,"scalar"

